t	amplitude xerr yerr
24.78	-3.706E-2 0.0008 0.008
24.81	-1.748E-2 0.0008 0.008
24.84	2.677E-3 0.0008 0.008
24.88	2.219E-2 0.0008 0.008
24.91	4.181E-2 0.0008 0.008
24.94	6.084E-2 0.0008 0.008
24.98	7.978E-2 0.0008 0.008
25.01	9.798E-2 0.0008 0.008
25.04	0.116 0.0008 0.008
25.08	0.132 0.0008 0.008
25.11	0.148 0.0008 0.008
25.14	0.162 0.0008 0.008
25.18	0.175 0.0008 0.008
25.21	0.187 0.0008 0.008
25.24	0.197 0.0008 0.008
25.28	0.206 0.0008 0.008
25.31	0.214 0.0008 0.008
25.34	0.220 0.0008 0.008
