t	func 0.0008 0.008
11.338333333333335	-0.26535551883427927 0.0008 0.008
11.371666666666666	-0.2787616801508289 0.0008 0.008
11.405000000000001	-0.2869504322549949 0.0008 0.008
11.438333333333334	-0.28825565118423546 0.0008 0.008
11.471666666666666	-0.28561352382602573 0.0008 0.008
11.505000000000003	-0.2763316727166752 0.0008 0.008
11.538333333333334	-0.26273202980923127 0.0008 0.008
11.571666666666669	-0.24262492289360074 0.0008 0.008
11.605000000000002	-0.2184318832247344 0.0008 0.008
11.638333333333334	-0.19094745172135208 0.0008 0.008
11.671666666666667	-0.1588258755385931 0.0008 0.008
11.705000000000002	-0.12409961504247961 0.0008 0.008
11.738333333333333	-0.08800149206044479 0.0008 0.008
11.77166666666667	-0.0510513839928614 0.0008 0.008
11.804999999999998	-0.012914126285775596 0.0008 0.008
11.838333333333335	0.022490539185332746 0.0008 0.008
11.871666666666666	0.0594039064673415 0.0008 0.008
11.905000000000001	0.0929500975643673 0.0008 0.008
11.938333333333334	0.12382294819320305 0.0008 0.008
11.971666666666666	0.15355530101294015 0.0008 0.008
12.005000000000003	0.17845614298709855 0.0008 0.008
12.038333333333334	0.1978748268957741 0.0008 0.008
12.071666666666669	0.2132113998653117 0.0008 0.008
12.105000000000002	0.2230144953957436 0.0008 0.008
12.138333333333334	0.22764485455725608 0.0008 0.008
12.171666666666667	0.22723461508908913 0.0008 0.008
12.205000000000002	0.22068938105886868 0.0008 0.008
12.238333333333333	0.20917361758542805 0.0008 0.008
12.27166666666667	0.19298801038015284 0.0008 0.008
12.304999999999998	0.17028422443598246 0.0008 0.008
12.338333333333335	0.14493905457430004 0.0008 0.008
12.371666666666666	0.1156061532815727 0.0008 0.008
12.405000000000001	0.08173828871419302 0.0008 0.008
12.438333333333334	0.04530665524325316 0.0008 0.008
12.471666666666666	0.009030197002741089 0.0008 0.008
12.505000000000003	-0.02891179585307297 0.0008 0.008
12.538333333333334	-0.06547513868730681 0.0008 0.008
12.571666666666669	-0.10393693604660884 0.0008 0.008
12.605000000000002	-0.1374243055330326 0.0008 0.008
12.638333333333334	-0.17105734975322986 0.0008 0.008
12.671666666666667	-0.19895478978434872 0.0008 0.008
12.705000000000002	-0.22498693386024526 0.0008 0.008
12.738333333333333	-0.24765060167487746 0.0008 0.008
12.77166666666667	-0.2637059842392055 0.0008 0.008
12.804999999999998	-0.275711640859446 0.0008 0.008
12.838333333333335	-0.2814714093674035 0.0008 0.008
12.871666666666666	-0.28312671899384156 0.0008 0.008
12.905000000000001	-0.2801204084993225 0.0008 0.008
12.938333333333334	-0.26909671305736593 0.0008 0.008
12.971666666666666	-0.25483591051020366 0.0008 0.008
13.005000000000003	-0.23721947529404916 0.0008 0.008
13.038333333333334	-0.21137866631119898 0.0008 0.008
13.071666666666669	-0.18372900147148716 0.0008 0.008
13.105000000000002	-0.15374102625354966 0.0008 0.008
13.138333333333334	-0.1186860829749868 0.0008 0.008
13.171666666666667	-0.08271435080022266 0.0008 0.008
13.205000000000002	-0.046681590564807175 0.0008 0.008
13.238333333333333	-0.009266454067732207 0.0008 0.008
13.27166666666667	0.026885049132528805 0.0008 0.008
13.304999999999998	0.06259260525761637 0.0008 0.008
13.338333333333335	0.09700737718487266 0.0008 0.008
13.371666666666666	0.12879974718367992 0.0008 0.008
13.405000000000001	0.1557010962791124 0.0008 0.008
13.438333333333334	0.17915235405456933 0.0008 0.008
13.471666666666666	0.19737643232209304 0.0008 0.008
13.505000000000003	0.21146504740136707 0.0008 0.008
13.538333333333334	0.2202218488000938 0.0008 0.008
13.571666666666669	0.22468846846345905 0.0008 0.008
13.605000000000002	0.2227496532220965 0.0008 0.008
13.638333333333334	0.2159633770315152 0.0008 0.008
13.671666666666667	0.20219588478520684 0.0008 0.008
13.705000000000002	0.18543497733182496 0.0008 0.008
13.738333333333333	0.16254286333075238 0.0008 0.008
13.77166666666667	0.13736838368824728 0.0008 0.008
13.804999999999998	0.10837297898903593 0.0008 0.008
13.838333333333335	0.0772729007931616 0.0008 0.008
13.871666666666666	0.040801302151747564 0.0008 0.008
13.905000000000001	0.004428221948093144 0.0008 0.008
13.938333333333334	-0.03404102565311885 0.0008 0.008
13.971666666666666	-0.0699475627023033 0.0008 0.008
14.005000000000003	-0.10513040895980323 0.0008 0.008
14.038333333333334	-0.14043134418981507 0.0008 0.008
14.071666666666669	-0.17283827826894538 0.0008 0.008
14.105000000000002	-0.20029547676049073 0.0008 0.008
14.138333333333334	-0.22634963402563243 0.0008 0.008
14.171666666666667	-0.24644398166691753 0.0008 0.008
14.205000000000002	-0.26264685727899595 0.0008 0.008
14.238333333333333	-0.274753391303293 0.0008 0.008
14.27166666666667	-0.27968944554765146 0.0008 0.008
14.304999999999998	-0.2800074459026211 0.0008 0.008
14.338333333333335	-0.27486322275486824 0.0008 0.008
14.371666666666666	-0.26412444615154906 0.0008 0.008
14.405000000000001	-0.24942738441761395 0.0008 0.008
14.438333333333334	-0.22991724718704926 0.0008 0.008
14.471666666666666	-0.20699949765302497 0.0008 0.008
14.505000000000003	-0.17919586158000778 0.0008 0.008
14.538333333333334	-0.1468000251765519 0.0008 0.008
14.571666666666669	-0.11451861952295507 0.0008 0.008
14.605000000000002	-0.07833140026024454 0.0008 0.008
14.638333333333334	-0.04299944794784492 0.0008 0.008
14.671666666666667	-0.006373661580828788 0.0008 0.008
14.706666666666665	0.030952743772408378 0.0008 0.008
14.740000000000002	0.06729664203191649 0.0008 0.008
14.773333333333333	0.10113438424739918 0.0008 0.008
14.80666666666667	0.1308565156332885 0.0008 0.008
14.839999999999998	0.1577325280415581 0.0008 0.008
14.873333333333333	0.18086546408416493 0.0008 0.008
14.906666666666666	0.19952928885608942 0.0008 0.008
14.940000000000001	0.21349019340124178 0.0008 0.008
14.973333333333334	0.22065275472049095 0.0008 0.008
15.006666666666666	0.22299940232062498 0.0008 0.008
15.040000000000003	0.22043922899726898 0.0008 0.008
15.073333333333334	0.21353002379306432 0.0008 0.008
15.10666666666667	0.1999137548823551 0.0008 0.008
15.140000000000002	0.1812880627713273 0.0008 0.008
15.173333333333334	0.15841827766712235 0.0008 0.008
15.206666666666665	0.13281991619735906 0.0008 0.008
15.240000000000002	0.10368663429937454 0.0008 0.008
15.273333333333333	0.06997704872083538 0.0008 0.008
15.30666666666667	0.03422333153425771 0.0008 0.008
15.339999999999998	-0.0017938177131173354 0.0008 0.008
15.373333333333333	-0.04018786367919487 0.0008 0.008
15.406666666666666	-0.07652598158006911 0.0008 0.008
15.440000000000001	-0.11303192406946964 0.0008 0.008
15.473333333333334	-0.1470799931547795 0.0008 0.008
15.506666666666666	-0.17799986725851946 0.0008 0.008
15.540000000000003	-0.20720995353070004 0.0008 0.008
15.573333333333334	-0.23289496535886045 0.0008 0.008
15.60666666666667	-0.2533095455250589 0.0008 0.008
15.640000000000002	-0.26844316309975347 0.0008 0.008
15.673333333333334	-0.28021326092596627 0.0008 0.008
15.706666666666665	-0.28586110641899676 0.0008 0.008
15.740000000000002	-0.2858897153317268 0.0008 0.008
15.773333333333333	-0.2800789903151182 0.0008 0.008
15.80666666666667	-0.2693082445585139 0.0008 0.008
15.839999999999998	-0.2524557753914772 0.0008 0.008
15.873333333333333	-0.23043633808551472 0.0008 0.008
