t_{1}	amp 0.0008 0.008
13.573333333333332	-0.24406882924700662 0.0008 0.008
13.606666666666664	-0.25157523913612434 0.0008 0.008
13.64	-0.25680999054095355 0.0008 0.008
13.673333333333332	-0.25949976762876625 0.0008 0.008
13.706666666666663	-0.2611183509204548 0.0008 0.008
13.739999999999997	-0.25956697293308134 0.0008 0.008
13.773333333333332	-0.25604707659041215 0.0008 0.008
13.806666666666668	-0.251109902730462 0.0008 0.008
13.84	-0.24355511237903205 0.0008 0.008
13.873333333333331	-0.23321351003806753 0.0008 0.008
13.906666666666665	-0.2223740650707227 0.0008 0.008
13.94	-0.20870539467916416 0.0008 0.008
13.973333333333333	-0.19359497651897678 0.0008 0.008
14.006666666666668	-0.17743425592504222 0.0008 0.008
14.039999999999996	-0.15961040635914964 0.0008 0.008
14.073333333333332	-0.14057518986365036 0.0008 0.008
14.106666666666664	-0.12068289842702583 0.0008 0.008
14.14	-0.09968956207422681 0.0008 0.008
14.173333333333332	-0.07761465468371152 0.0008 0.008
14.206666666666663	-0.05535497529400061 0.0008 0.008
14.239999999999997	-0.032066757589957834 0.0008 0.008
14.273333333333332	-0.008445141331724366 0.0008 0.008
14.306666666666668	0.013904624116215425 0.0008 0.008
14.34	0.03648908797499829 0.0008 0.008
14.373333333333331	0.058653992709906705 0.0008 0.008
14.406666666666665	0.0803936937165553 0.0008 0.008
14.44	0.10070884627352036 0.0008 0.008
14.473333333333333	0.12040949241499614 0.0008 0.008
14.506666666666668	0.1388702335137316 0.0008 0.008
14.539999999999996	0.15541383634003758 0.0008 0.008
14.573333333333332	0.17111142052963604 0.0008 0.008
14.606666666666664	0.18595174328722655 0.0008 0.008
14.64	0.1983212569584426 0.0008 0.008
14.673333333333332	0.20978231282488002 0.0008 0.008
14.706666666666663	0.21886894085062283 0.0008 0.008
14.739999999999997	0.22608434070647487 0.0008 0.008
14.773333333333332	0.23116041825412345 0.0008 0.008
14.806666666666665	0.2345742362244544 0.0008 0.008
14.84	0.2357740284680693 0.0008 0.008
14.873333333333331	0.23469471962819471 0.0008 0.008
14.906666666666665	0.231873656463274 0.0008 0.008
14.939999999999996	0.22722554665309952 0.0008 0.008
14.973333333333336	0.22116420776300788 0.0008 0.008
15.006666666666668	0.2124205098816257 0.0008 0.008
15.039999999999996	0.2017699210333274 0.0008 0.008
15.073333333333329	0.18947176659257742 0.0008 0.008
15.106666666666667	0.17617757614709792 0.0008 0.008
15.14	0.16042551805181893 0.0008 0.008
15.173333333333332	0.14367063013114975 0.0008 0.008
15.20666666666666	0.12566961024715018 0.0008 0.008
15.24	0.10626577057913458 0.0008 0.008
15.273333333333332	0.08651472629568553 0.0008 0.008
15.306666666666665	0.06552403720891882 0.0008 0.008
15.34	0.04377241918147613 0.0008 0.008
15.373333333333331	0.021643609665350016 0.0008 0.008
15.406666666666665	-6.345956355236835E-4 0.0008 0.008
15.439999999999996	-0.023771495433072883 0.0008 0.008
15.473333333333336	-0.04661473674769186 0.0008 0.008
15.506666666666668	-0.0689725641720953 0.0008 0.008
15.539999999999996	-0.09085793590556669 0.0008 0.008
15.573333333333332	-0.11139170284730661 0.0008 0.008
15.606666666666667	-0.13139409445869343 0.0008 0.008
15.639999999999997	-0.1504139014857431 0.0008 0.008
15.673333333333332	-0.1681201617440951 0.0008 0.008
15.70666666666666	-0.18476721698976553 0.0008 0.008
15.740000000000004	-0.20039160631458477 0.0008 0.008
15.773333333333332	-0.21404712223001499 0.0008 0.008
15.806666666666661	-0.22629047298027236 0.0008 0.008
15.840000000000003	-0.2357666536089918 0.0008 0.008
15.873333333333331	-0.2435913724146755 0.0008 0.008
15.906666666666668	-0.24922228581687866 0.0008 0.008
15.939999999999996	-0.253626072315266 0.0008 0.008
15.973333333333333	-0.2555131285285305 0.0008 0.008
16.006666666666668	-0.25557109679345064 0.0008 0.008
16.039999999999996	-0.25339871032070166 0.0008 0.008
16.07333333333333	-0.2484490428869267 0.0008 0.008
16.10666666666667	-0.24226249443025077 0.0008 0.008
16.139999999999997	-0.2334483268524233 0.0008 0.008
16.173333333333332	-0.22343956548134442 0.0008 0.008
16.20666666666666	-0.2108554845019359 0.0008 0.008
16.240000000000002	-0.19636873845045527 0.0008 0.008
16.273333333333333	-0.1809158594848538 0.0008 0.008
16.30666666666666	-0.16389776541075918 0.0008 0.008
16.340000000000003	-0.14539842640021905 0.0008 0.008
16.37333333333333	-0.12583041245259977 0.0008 0.008
16.406666666666666	-0.1061087582489746 0.0008 0.008
16.439999999999998	-0.08496599819051684 0.0008 0.008
16.474999999999998	-0.063893989121807 0.0008 0.008
16.508333333333333	-0.04140117215538281 0.0008 0.008
16.54166666666666	-0.018988596283233742 0.0008 0.008
16.575000000000003	0.0034184169605401033 0.0008 0.008
16.60833333333333	0.026025459806666873 0.0008 0.008
16.641666666666662	0.04773381482725851 0.0008 0.008
16.674999999999997	0.06906206758903863 0.0008 0.008
16.708333333333332	0.0897172824251269 0.0008 0.008
16.741666666666667	0.10978058154350516 0.0008 0.008
16.774999999999995	0.128763880527186 0.0008 0.008
16.808333333333326	0.1464107736322488 0.0008 0.008
16.84166666666667	0.1624587039053047 0.0008 0.008
16.874999999999996	0.17716181386295365 0.0008 0.008
16.90833333333333	0.19057115258120197 0.0008 0.008
16.941666666666666	0.2019919064805185 0.0008 0.008
16.974999999999998	0.21192009227965894 0.0008 0.008
17.008333333333333	0.21969204122834107 0.0008 0.008
17.04166666666666	0.2258795176827791 0.0008 0.008
17.075000000000003	0.2297150451408279 0.0008 0.008
17.10833333333333	0.23136985874357097 0.0008 0.008
17.141666666666662	0.2312308436595987 0.0008 0.008
17.174999999999997	0.2295497889430092 0.0008 0.008
17.208333333333332	0.22588727460641295 0.0008 0.008
17.241666666666667	0.21991872492804984 0.0008 0.008
